Idx,GeneProbability/KmersHitsOnGene/KmersHitsOnAllGenes/KmersTotal,GeneAnnotation
@>MEG_886|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.86/7/7/135,>MEG_954|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@random_sequence,?/?/?/?,?
@>MEG_888|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2_2pointsRearrangement,?/?/?/?,?
@>MEG_889|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.33/5/9/135,>MEG_889|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_890|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,?/?/?/?,?
@>MEG_891|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.01/19/19/135,>MEG_886|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_892|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.01/5/5/135,>MEG_943|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_893|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2_2pointsRearrangement,0.01/118/118/134,>MEG_943|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_894|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.45/9/9/135,>MEG_799|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_895|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.08/8/19/135,>MEG_783|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_896|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.01/7/7/135,>MEG_838|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_897|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2_2pointsRearrangement,?/?/?/?,?
@random_sequence,?/?/?/?,?
@>MEG_899|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.31/3/3/135,>MEG_913|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_900|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.04/4/4/135,>MEG_834|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_901|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2_2pointsRearrangement,0.32/118/118/134,>MEG_901|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@random_sequence,?/?/?/?,?
@>MEG_903|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,?/?/?/?,?
@random_sequence,?/?/?/?,?
@>MEG_905|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2_2pointsRearrangement,0.05/119/119/134,>MEG_909|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_906|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2_2pointsRearrangement,0.04/119/119/134,>MEG_903|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_907|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.05/4/4/135,>MEG_928|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_908|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.05/12/12/135,>MEG_908|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_909|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2_2pointsRearrangement,?/?/?/?,?
@>MEG_910|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,?/?/?/?,?
@>MEG_911|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.05/14/14/135,>MEG_904|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_912|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,1.0/5/5/135,>MEG_912|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@random_sequence,?/?/?/?,?
@random_sequence,?/?/?/?,?
@>MEG_915|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.14/8/8/135,>MEG_915|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_916|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.11/6/19/135,>MEG_960|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_917|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,?/?/?/?,?
@>MEG_918|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,1.0/3/3/135,>MEG_918|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@random_sequence,?/?/?/?,?
@>MEG_920|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2_2pointsRearrangement,0.24/120/120/134,>MEG_920|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_921|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2_2pointsRearrangement,0.16/118/118/134,>MEG_921|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_922|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.02/2/2/135,>MEG_897|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@random_sequence,?/?/?/?,?
@>MEG_924|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.19/26/26/135,>MEG_766|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_925|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.75/9/12/135,>MEG_925|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_926|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2_2pointsRearrangement,0.29/118/118/134,>MEG_926|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_927|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.25/31/40/135,>MEG_891|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_928|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.04/7/7/135,>MEG_902|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_929|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.02/13/13/135,>MEG_959|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_930|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.17/16/30/135,>MEG_858|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_931|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.09/13/13/135,>MEG_932|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_932|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.04/14/14/135,>MEG_301|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_933|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2_2pointsRearrangement,0.01/118/118/134,>MEG_784|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_934|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2_2pointsRearrangement,1.0/120/120/134,>MEG_934|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_935|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,1.0/10/10/135,>MEG_935|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_936|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.04/4/4/135,>MEG_834|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_937|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.02/32/32/135,>MEG_838|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_938|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.02/13/13/135,>MEG_938|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@random_sequence,?/?/?/?,?
@>MEG_940|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2_2pointsRearrangement,0.02/118/118/134,>MEG_879|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@random_sequence,?/?/?/?,?
@>MEG_942|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.02/27/27/135,>MEG_966|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_943|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,?/?/?/?,?
@>MEG_944|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.06/12/12/135,>MEG_955|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_945|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.5/1/2/135,>MEG_897|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_946|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,?/?/?/?,?
@random_sequence,?/?/?/?,?
@>MEG_948|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,?/?/?/?,?
@>MEG_949|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.78/21/21/135,>MEG_949|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_950|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.02/8/8/135,>MEG_846|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@random_sequence,?/?/?/?,?
@>MEG_952|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.22/19/19/135,>MEG_333|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_953|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,?/?/?/?,?
@>MEG_954|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.02/5/5/135,>MEG_799|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_955|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.13/7/7/135,>MEG_763|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_956|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.2/7/7/135,>MEG_926|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_957|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2_2pointsRearrangement,0.2/121/121/134,>MEG_851|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_958|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.25/1/4/135,>MEG_1223|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|BEPC
@>MEG_959|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.01/23/23/135,>MEG_927|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_960|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.01/7/7/135,>MEG_861|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_961|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.02/9/9/135,>MEG_794|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_962|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.01/7/7/135,>MEG_949|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_963|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2_2pointsRearrangement,0.01/118/118/134,>MEG_793|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@random_sequence,?/?/?/?,?
@random_sequence,?/?/?/?,?
@random_sequence,?/?/?/?,?
@>MEG_967|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2_2pointsRearrangement,0.03/120/120/134,>MEG_879|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_968|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.01/5/5/135,>MEG_892|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_969|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2_2pointsRearrangement,0.02/119/119/134,>MEG_915|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_970|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.02/10/10/135,>MEG_896|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@>MEG_971|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,1.0/11/11/135,>MEG_840|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@random_sequence,?/?/?/?,?
@>MEG_973|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,0.01/24/24/135,>MEG_876|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME
@random_sequence,?/?/?/?,?
@>MEG_975|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME_errorrate=0.2,?/?/?/?,?
@>MEG_976|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME_errorrate=0.2,?/?/?/?,?
@>MEG_977|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME_errorrate=0.2,0.84/19/22/135,>MEG_977|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME
@>MEG_978|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME_errorrate=0.2_2pointsRearrangement,0.19/119/119/134,>MEG_983|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME
@>MEG_979|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME_errorrate=0.2_2pointsRearrangement,?/?/?/?,?
@>MEG_980|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME_errorrate=0.2,0.17/4/4/135,>MEG_980|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME
@>MEG_981|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME_errorrate=0.2,?/?/?/?,?
@random_sequence,?/?/?/?,?
@>MEG_983|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME_errorrate=0.2,0.2/11/11/135,>MEG_983|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME
@>MEG_984|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME_errorrate=0.2,1.0/22/22/135,>MEG_984|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME
@>MEG_985|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME_errorrate=0.2_2pointsRearrangement,0.47/119/119/134,>MEG_985|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME
@random_sequence,?/?/?/?,?
@>MEG_987|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6_errorrate=0.2,0.25/29/29/135,>MEG_994|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6
@>MEG_988|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6_errorrate=0.2,1.0/3/3/135,>MEG_988|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6
@>MEG_989|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6_errorrate=0.2,0.66/10/10/135,>MEG_989|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6
@>MEG_990|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6_errorrate=0.2,1.0/21/21/135,>MEG_990|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6
@random_sequence,?/?/?/?,?
@>MEG_992|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6_errorrate=0.2,?/?/?/?,?
@>MEG_993|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6_errorrate=0.2,1.0/12/12/135,>MEG_993|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6
@>MEG_994|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6_errorrate=0.2_2pointsRearrangement,0.25/118/118/134,>MEG_994|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6
@random_sequence,?/?/?/?,?
@>MEG_996|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6_errorrate=0.2,0.42/4/6/135,>MEG_991|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6
@>MEG_997|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6_errorrate=0.2,1.0/8/8/135,>MEG_997|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6
@random_sequence,?/?/?/?,?
@>MEG_999|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6_errorrate=0.2,?/?/?/?,?
@>MEG_1000|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6_errorrate=0.2,0.59/49/49/135,>MEG_1000|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6
@random_sequence,?/?/?/?,?
@>MEG_1002|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6_errorrate=0.2,1.0/2/2/135,>MEG_1002|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6
@>MEG_1003|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9_errorrate=0.2_2pointsRearrangement,1.0/120/120/134,>MEG_1003|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9
@random_sequence,?/?/?/?,?
@random_sequence,1.0/3/3/135,>MEG_1175|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSRM
@>MEG_1006|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9_errorrate=0.2,1.0/10/10/135,>MEG_1006|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9
@>MEG_1007|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9_errorrate=0.2,0.5/26/26/135,>MEG_1007|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9
@random_sequence,?/?/?/?,?
@>MEG_1009|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME_errorrate=0.2,?/?/?/?,?
@>MEG_1010|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME_errorrate=0.2,0.48/10/11/135,>MEG_1010|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME
@>MEG_1011|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME_errorrate=0.2,?/?/?/?,?
@>MEG_1012|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME_errorrate=0.2,0.83/9/9/135,>MEG_1012|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME
@>MEG_1013|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME_errorrate=0.2,0.33/4/4/135,>MEG_1011|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME
@>MEG_1014|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME_errorrate=0.2,0.22/2/3/135,>MEG_4662|Drugs|betalactams|Class_D_betalactamases|OXA
@random_sequence,1.0/3/3/135,>MEG_5771|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|PERO
@random_sequence,?/?/?/?,?
@>MEG_1017|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME_errorrate=0.2,?/?/?/?,?
@>MEG_1018|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME_errorrate=0.2_2pointsRearrangement,0.98/118/118/134,>MEG_1018|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME
@>MEG_1019|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME_errorrate=0.2,0.16/9/9/135,>MEG_1019|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME
@>MEG_1020|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME_errorrate=0.2,?/?/?/?,?
@>MEG_1021|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME_errorrate=0.2,1.0/14/14/135,>MEG_1021|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME
@>MEG_1022|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME_errorrate=0.2_2pointsRearrangement,0.53/118/118/134,>MEG_1022|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME
@>MEG_1023|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME_errorrate=0.2,?/?/?/?,?
@>MEG_1024|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME_errorrate=0.2,0.5/18/18/135,>MEG_1024|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME
@>MEG_1025|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME_errorrate=0.2,1.0/5/5/135,>MEG_1030|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME
@>MEG_1026|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME_errorrate=0.2,0.2/14/14/135,>MEG_1022|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME
@random_sequence,?/?/?/?,?
@>MEG_1028|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME_errorrate=0.2,0.15/14/14/135,>MEG_1028|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME
